"What resources can be managed in Azure Storage Explorer?","Any Azure Storage resource, including storage accounts, blob containers, ADLS directories, file shares, and data.","2023-07-06",0
"Data warehouse tables that store large volumes of quantifiable observations are referred to as ________.","Fact tables","2023-04-27",1
"Data that is stored in JSON format can be described as what type of data?","Semi-structured","2023-04-27",1
"Qu'est-ce que le marketing numérique ?","Le marketing numérique englobe toutes les activités marketing réalisées en ligne pour promouvoir une marque, un produit ou un service.","2023-05-11",0
"Quel est l'objectif principal du marketing numérique ?","L'objectif principal du marketing numérique est d'attirer et d'engager des clients potentiels, de les fidéliser et d'augmenter les ventes.","2023-05-11",0
"Quels sont les principaux canaux de marketing numérique ?","Les principaux canaux de marketing numérique incluent les sites web, le référencement (SEO), le marketing par e-mail, les réseaux sociaux et la publicité en ligne.","2023-05-11",0
"À quoi sert un site web dans le marketing numérique ?","Un site web sert de vitrine en ligne pour votre commerce, permettant aux clients de trouver des informations sur vos produits ou services.","2023-05-11",0
"Qu'est-ce que le référencement (SEO) ?","Le référencement (SEO) consiste à optimiser le contenu d'un site web pour apparaître dans les résultats de recherche des moteurs de recherche, comme Google.","2023-05-11",0
"En quoi consiste le marketing par e-mail ?","Le marketing par e-mail permet de communiquer directement avec vos clients et prospects en leur envoyant des e-mails personnalisés et ciblés.","2023-05-11",0
"Quel est le rôle des réseaux sociaux dans le marketing numérique ?","Les réseaux sociaux sont utilisés pour partager du contenu, interagir avec les clients et promouvoir vos produits ou services.","2023-05-11",0
"Qu'est-ce que la publicité en ligne ?","La publicité en ligne consiste à diffuser des annonces payantes sur des plateformes comme Google Ads et Facebook Ads pour atteindre un public ciblé.","2023-05-11",0
"Qu'est-ce que la gestion du temps ?","La gestion du temps est une compétence qui permet d'organiser et de planifier son travail et ses activités personnelles de manière efficace.","2023-05-11",0
"Pourquoi la gestion du temps est-elle importante ?","La gestion du temps est importante car elle permet d'augmenter la productivité, de réduire le stress, d'équilibrer la vie professionnelle et personnelle, et d'améliorer la prise de décision.","2023-05-11",0
"Qu'est-ce que la procrastination ?","La procrastination est la tendance à remettre les tâches importantes à plus tard, ce qui peut entraîner des retards et du stress.","2023-05-11",0
"Quels sont les défis liés à la gestion du temps ?","Les défis liés à la gestion du temps incluent la procrastination, les distractions, la gestion des priorités et les imprévus et interruptions.","2023-05-11",0
"Qu'est-ce que Azure Traffic Manager?","C'est un service de répartition de charge basé sur DNS qui permet de distribuer le trafic entrant vers différentes instances de service dans le cloud Azure. Il utilise des méthodes de routage comme la priorité, pondérée et performance, et effectue des vérifications de santé des services.","2023-07-06",0
"Qu'est-ce qu'une attaque DDoS?","Une attaque DDoS vise à rendre un service en ligne indisponible en le submergeant avec un grand volume de trafic réseau depuis de multiples sources.","2023-07-06",0
"Quels sont les deux niveaux de service DDoS proposés par Azure?","Azure propose DDoS Protection Basic, qui est automatique et sans frais supplémentaires, et DDoS Protection Standard, qui est payant et offre des fonctionnalités avancées pour protéger les ressources dans un Virtual Network.","2023-07-06",0
"Qu'est-ce qu'un NSG (Network Security Group) dans Azure?","C'est un filtre simple qui permet ou refuse le trafic réseau vers les ressources d'Azure basé sur des règles de source, destination, port et protocole. Il est souvent utilisé pour contrôler l'accès à des machines virtuelles.","2023-07-06",0
"Comment diffère Azure Firewall d'un NSG?","Azure Firewall est un pare-feu géré par le cloud avec des fonctionnalités de sécurité plus avancées, telles que la protection contre les menaces, la filtration des applications web et le routage du trafic en fonction de règles complexes. NSG est moins complexe et idéal pour des règles de contrôle d'accès de base.","2023-07-06",0
"Qu'est-ce qu'une Local Network Gateway dans Azure?","C'est une ressource qui représente votre réseau local et l'appliance VPN de votre côté lors de la configuration d'une connexion VPN Site-à-Site à Azure.","2023-07-06",0
"Qu'est-ce qu'une appliance VPN?","C'est un dispositif de réseau ou un logiciel qui sert de passerelle pour établir des connexions VPN sécurisées et cryptées sur un réseau, souvent utilisé pour connecter des réseaux locaux à des environnements cloud.","2023-07-06",0
"Qu'est-ce que la durabilité dans Azure?","C'est la capacité de garantir que les données stockées restent intactes et accessibles, même en cas de problèmes matériels. Azure assure la durabilité en répliquant les données sur plusieurs emplacements.","2023-07-06",0
